"Species","Guild","Body_mass"
"Accipiter albogularis","Carnivore",0.2488
"Accipiter badius","Carnivore",0.1312
"Accipiter bicolor","Carnivore",0.2875
"Accipiter brachyurus","Carnivore",0.142
"Accipiter brevipes","Carnivore",0.1865
"Accipiter butleri","Carnivore",0.122
"Accipiter castanilius","Carnivore",0.1575
"Accipiter cirrocephalus","Carnivore",0.1657
"Accipiter collaris","Carnivore",0.0978
"Accipiter cooperii","Carnivore",0.4297
"Accipiter erythrauchen","Carnivore",0.156
"Accipiter erythropus","Carnivore",0.1112
"Accipiter fasciatus","Carnivore",0.3587
"Accipiter francesiae","Carnivore",0.1368
"Accipiter gentilis","Carnivore",0.866
"Accipiter griseiceps","Carnivore",0.2518
"Accipiter gularis","Carnivore",0.1207
"Accipiter gundlachi","Carnivore",0.675
"Accipiter haplochrous","Carnivore",0.1984
"Accipiter henicogrammus","Carnivore",0.3587
"Accipiter henstii","Carnivore",1.05
"Accipiter hiogaster","Carnivore",0.3261
"Accipiter imitator","Carnivore",0.2225
"Accipiter luteoschistaceus","Carnivore",0.214
"Accipiter madagascariensis","Carnivore",0.1804
"Accipiter melanochlamys","Carnivore",0.265
"Accipiter melanoleucus","Carnivore",0.699
"Accipiter meyerianus","Carnivore",0.7635
"Accipiter minullus","Carnivore",0.0874
"Accipiter nanus","Carnivore",0.117
"Accipiter nisus","Carnivore",0.2208
"Accipiter novaehollandiae","Carnivore",0.3261
"Accipiter ovampensis","Carnivore",0.195
"Accipiter poliocephalus","Carnivore",0.2148
"Accipiter poliogaster","Carnivore",0.315
"Accipiter princeps","Carnivore",0.2148
"Accipiter rhodogaster","Carnivore",0.1727
"Accipiter rufitorques","Carnivore",0.209
"Accipiter rufiventris","Carnivore",0.198
"Accipiter soloensis","Carnivore",0.1648
"Accipiter striatus","Carnivore",0.1306
"Accipiter superciliosus","Carnivore",0.0964
"Accipiter tachiro","Carnivore",0.2902
"Accipiter toussenelii","Carnivore",0.2493
"Accipiter trinotatus","Carnivore",0.146
"Accipiter trivirgatus","Carnivore",0.265
"Accipiter virgatus","Carnivore",0.117
"Aegypius monachus","Scavenger",9.3206
"Aquila adalberti","Carnivore",2.958
"Aquila africana","Carnivore",1.047
"Aquila audax","Carnivore",3.4499
"Aquila chrysaetos","Carnivore",4.248
"Aquila fasciata","Carnivore",1.9365
"Aquila gurneyi","Carnivore",3.06
"Aquila heliaca","Carnivore",3.1252
"Aquila nipalensis","Carnivore",2.7143
"Aquila rapax","Carnivore",2.2361
"Aquila spilogaster","Carnivore",1.4662
"Aquila verreauxii","Carnivore",4.195
"Aviceda cuculoides","Carnivore",0.277
"Aviceda jerdoni","Carnivore",0.363
"Aviceda leuphotes","Carnivore",0.194
"Aviceda madagascariensis","Carnivore",0.277
"Aviceda subcristata","Carnivore",0.3227
"Busarellus nigricollis","Carnivore",0.7661
"Butastur indicus","Carnivore",0.4146
"Butastur liventer","Carnivore",0.338
"Butastur rufipennis","Carnivore",0.3349
"Butastur teesa","Carnivore",0.325
"Buteo albigula","Carnivore",0.525
"Buteo albonotatus","Carnivore",0.7459
"Buteo archeri","Carnivore",1.0992
"Buteo augur","Carnivore",1.0992
"Buteo auguralis","Carnivore",0.6639
"Buteo bannermani","Carnivore",0.7591
"Buteo brachypterus","Carnivore",0.511
"Buteo brachyurus","Carnivore",0.496
"Buteo buteo","Carnivore",0.7591
"Buteo galapagoensis","Carnivore",1.1374
"Buteo hemilasius","Carnivore",1.3589
"Buteo jamaicensis","Carnivore",1.1012
"Buteo japonicus","Carnivore",0.7591
"Buteo lagopus","Carnivore",0.9498
"Buteo lineatus","Carnivore",0.6037
"Buteo nitidus","Carnivore",0.519
"Buteo oreophilus","Carnivore",0.7
"Buteo plagiatus","Carnivore",0.519
"Buteo platypterus","Carnivore",0.4537
"Buteo refectus","Carnivore",0.7591
"Buteo regalis","Carnivore",1.4372
"Buteo ridgwayi","Carnivore",0.315
"Buteo rufinus","Carnivore",1.1662
"Buteo rufofuscus","Carnivore",1.53
"Buteo socotraensis","Carnivore",0.7591
"Buteo solitarius","Carnivore",0.5009
"Buteo swainsoni","Carnivore",0.9466
"Buteo trizonatus","Carnivore",0.568
"Buteo ventralis","Carnivore",1.1905
"Buteogallus aequinoctialis","Carnivore",0.6576
"Buteogallus anthracinus","Carnivore",0.9751
"Buteogallus coronatus","Carnivore",2.95
"Buteogallus gundlachii","Carnivore",0.9751
"Buteogallus lacernulatus","Carnivore",0.312
"Buteogallus meridionalis","Carnivore",0.808
"Buteogallus schistaceus","Carnivore",1
"Buteogallus solitarius","Carnivore",3
"Buteogallus urubitinga","Carnivore",1.1529
"Chelictinia riocourii","Carnivore",0.11
"Chondrohierax uncinatus","Carnivore",0.2861
"Circaetus beaudouini","Carnivore",1.5
"Circaetus cinerascens","Carnivore",1.126
"Circaetus cinereus","Carnivore",2.048
"Circaetus fasciolatus","Carnivore",1.0136
"Circaetus gallicus","Carnivore",1.6991
"Circaetus pectoralis","Carnivore",1.5
"Circus aeruginosus","Carnivore",0.7041
"Circus approximans","Carnivore",0.7462
"Circus assimilis","Carnivore",0.5586
"Circus buffoni","Carnivore",0.5074
"Circus cinereus","Carnivore",0.3997
"Circus cyaneus","Carnivore",0.393
"Circus hudsonius","Carnivore",0.393
"Circus macrosceles","Carnivore",0.6636
"Circus macrourus","Carnivore",0.3844
"Circus maillardi","Carnivore",0.6636
"Circus maurus","Carnivore",0.509
"Circus melanoleucos","Carnivore",0.3363
"Circus pygargus","Carnivore",0.3108
"Circus ranivorus","Carnivore",0.507
"Circus spilonotus","Carnivore",0.5588
"Circus spilothorax","Carnivore",0.5588
"Clanga clanga","Carnivore",2.1543
"Clanga hastata","Carnivore",1.3594
"Clanga pomarina","Carnivore",1.3594
"Cryptoleucopteryx plumbea","Carnivore",0.482
"Dryotriorchis spectabilis","Carnivore",0.697
"Elanoides forficatus","Carnivore",0.4162
"Elanus axillaris","Carnivore",0.2701
"Elanus caeruleus","Carnivore",0.2598
"Elanus leucurus","Carnivore",0.346
"Elanus scriptus","Carnivore",0.316
"Erythrotriorchis buergersi","Carnivore",0.575
"Erythrotriorchis radiatus","Carnivore",0.8874
"Eutriorchis astur","Carnivore",0.7
"Gampsonyx swainsonii","Carnivore",0.0929
"Geranoaetus albicaudatus","Carnivore",0.885
"Geranoaetus melanoleucus","Carnivore",2.3786
"Geranoaetus polyosoma","Carnivore",0.7826
"Geranospiza caerulescens","Carnivore",0.3025
"Gypaetus barbatus","Scavenger",5.695
"Gypohierax angolensis","Herbivore",1.6
"Gyps africanus","Scavenger",5.433
"Gyps bengalensis","Scavenger",4.385
"Gyps coprotheres","Scavenger",8.177
"Gyps fulvus","Scavenger",7.436
"Gyps himalayensis","Scavenger",9.798
"Gyps indicus","Scavenger",5.515
"Gyps rueppelli","Scavenger",7.4
"Gyps tenuirostris","Scavenger",5.515
"Haliaeetus albicilla","Carnivore",4.7293
"Haliaeetus humilis","Carnivore",0.782
"Haliaeetus ichthyaetus","Carnivore",1.59
"Haliaeetus leucocephalus","Carnivore",4.7006
"Haliaeetus leucogaster","Carnivore",2.827
"Haliaeetus leucoryphus","Carnivore",2.8859
"Haliaeetus pelagicus","Carnivore",7.757
"Haliaeetus sanfordi","Carnivore",1.98
"Haliaeetus vocifer","Carnivore",3.4
"Haliaeetus vociferoides","Carnivore",3
"Haliastur indus","Carnivore",0.529
"Haliastur sphenurus","Carnivore",0.753
"Hamirostra melanosternon","Carnivore",1.196
"Harpagus bidentatus","Carnivore",0.2153
"Harpagus diodon","Carnivore",0.2
"Harpia harpyja","Carnivore",4.8
"Harpyopsis novaeguineae","Carnivore",1.9596
"Helicolestes hamatus","Carnivore",0.4255
"Henicopernis infuscatus","Carnivore",0.5712
"Henicopernis longicauda","Carnivore",0.5712
"Hieraaetus ayresii","Carnivore",0.8061
"Hieraaetus morphnoides","Carnivore",0.7751
"Hieraaetus pennatus","Carnivore",0.8238
"Hieraaetus wahlbergi","Carnivore",0.64
