"mean","sd","lower","upper","Rhat","n.eff","var","species","sig","Species_Pair"
0.250551008509057,0.559779107682447,-0.925969230364238,1.34256862891648,1.01298101647041,369,"Abundance_intercept","SUB-Tapirus_indicus","Non-Significant","SUB-Tapirus_indicus~DOM-Panthera_pardus"
-1.16009242515187,1.2810675075562,-3.86820226855464,1.55521167984111,1.00427718677532,560,"Abundance_intercept","DOM-Panthera_pardus","Non-Significant","SUB-Tapirus_indicus~DOM-Panthera_pardus"
0.194421317098965,0.183424513385704,-0.160769548172504,0.558697128831784,1.00013316086404,11320,"FLII","SUB-Tapirus_indicus","Non-Significant","SUB-Tapirus_indicus~DOM-Panthera_pardus"
0.536888783329479,0.721887691383331,-0.754436318078278,2.06938386835287,1.00066371659838,3921,"FLII","DOM-Panthera_pardus","Non-Significant","SUB-Tapirus_indicus~DOM-Panthera_pardus"
0.00921756181559272,0.176619304925477,-0.35729091518114,0.338284048157957,1.00004745566889,28081,"HFP","SUB-Tapirus_indicus","Non-Significant","SUB-Tapirus_indicus~DOM-Panthera_pardus"
1.40389484621957,0.813819026427674,-0.265653887135161,2.96360697126048,0.999994936079311,30000,"HFP","DOM-Panthera_pardus","Non-Significant","SUB-Tapirus_indicus~DOM-Panthera_pardus"
1.00521077230917,0.147518244591692,0.713629021328051,1.29474050239329,1.0000827338134,21937,"Elevation","SUB-Tapirus_indicus","Significant","SUB-Tapirus_indicus~DOM-Panthera_pardus"
1.80672945636029,0.231122121416288,1.36487661610056,2.27445273690658,1.00109672392843,1755,"Elevation","DOM-Panthera_pardus","Significant","SUB-Tapirus_indicus~DOM-Panthera_pardus"
0.208840451008081,0.0654571543979797,0.0814087258037713,0.337452776958133,1.00017521140008,19309,"Community_detections","SUB-Tapirus_indicus","Significant","SUB-Tapirus_indicus~DOM-Panthera_pardus"
0.465199645161981,0.170177021520677,0.148049244057386,0.811597936660847,1.00016795262433,9921,"Community_detections","DOM-Panthera_pardus","Significant","SUB-Tapirus_indicus~DOM-Panthera_pardus"
1.03559098421859,0.1321618698849,0.772017271766881,1.28439817213141,1.00006823296619,30000,"Species_Interaction","SUB-Tapirus_indicus","Significant","SUB-Tapirus_indicus~DOM-Panthera_pardus"
-3.08624197770912,0.342167726249357,-3.82712976663548,-2.40364497161002,1.00018646435185,30000,"Detection_intercept","SUB-Tapirus_indicus","Significant","SUB-Tapirus_indicus~DOM-Panthera_pardus"
-3.3407005635128,0.48849446932282,-4.31151261694596,-2.4097577460138,1.00804088373199,17670,"Detection_intercept","DOM-Panthera_pardus","Significant","SUB-Tapirus_indicus~DOM-Panthera_pardus"
0.481270220235552,0.0557824379222987,0.372172091012049,0.591510224916928,0.999990230707509,30000,"Active_cams","SUB-Tapirus_indicus","Significant","SUB-Tapirus_indicus~DOM-Panthera_pardus"
0.504293552521174,0.105448489431909,0.298445239474534,0.71015376908221,1.00022906726944,8305,"Active_cams","DOM-Panthera_pardus","Significant","SUB-Tapirus_indicus~DOM-Panthera_pardus"
1.13605084743765,0.993114568087308,0.123187681698191,3.7027304041854,1.00054816203705,3530,"var.Landscape","SUB-Tapirus_indicus","Significant","SUB-Tapirus_indicus~DOM-Panthera_pardus"
653.550988646793,107498.65354161,0.0475866452763085,5.09044775032054,1.29087838629945,29497,"var.Landscape","DOM-Panthera_pardus","Significant","SUB-Tapirus_indicus~DOM-Panthera_pardus"
0.967455437960934,0.613991997235389,-0.186043264939901,2.23555472666604,1.01076397032424,433,"Landscape[1]","SUB-Tapirus_indicus","Non-Significant","SUB-Tapirus_indicus~DOM-Panthera_pardus"
0.191797800286655,0.590416144575507,-0.934496330620518,1.42913044799393,1.01211201135086,407,"Landscape[2]","DOM-Panthera_pardus","Non-Significant","SUB-Tapirus_indicus~DOM-Panthera_pardus"
0.564451891264809,0.572144865719433,-0.534180899228356,1.77549253670624,1.01312404729251,393,"Landscape[3]","SUB-Tapirus_indicus","Non-Significant","SUB-Tapirus_indicus~DOM-Panthera_pardus"
-1.25229466005227,0.608132962092169,-2.49161417793707,-0.0578149830903851,1.00744911117293,562,"Landscape[4]","SUB-Tapirus_indicus","Significant","SUB-Tapirus_indicus~DOM-Panthera_pardus"
-0.0154154301195279,1.35780151321565,-2.7632646673571,2.73920548453437,1.00103770333118,24172,"Landscape[5]","SUB-Tapirus_indicus","Non-Significant","SUB-Tapirus_indicus~DOM-Panthera_pardus"
-0.772409923458605,0.760426024772466,-2.44872379533301,0.580305930365187,1.00267917349705,2005,"Landscape[6]","SUB-Tapirus_indicus","Non-Significant","SUB-Tapirus_indicus~DOM-Panthera_pardus"
-0.0156610875883,1.35893991796634,-2.81663752400237,2.73666971582976,1.00118210792119,30000,"Landscape[7]","SUB-Tapirus_indicus","Non-Significant","SUB-Tapirus_indicus~DOM-Panthera_pardus"
