"mean","sd","lower","upper","Rhat","n.eff","var","species","sig","Species_Pair"
-1.18443698413021,0.779489324156131,-2.8839236759518,0.283046015825494,1.02809081920591,98,"Abundance_intercept","SUB-Panthera_tigris","Non-Significant","SUB-Panthera_tigris~DOM-Neofelis_genus"
-1.68224566011171,0.344315604200683,-2.38404826646872,-1.02165058117813,1.00100389918651,2682,"Abundance_intercept","DOM-Neofelis_genus","Significant","SUB-Panthera_tigris~DOM-Neofelis_genus"
-0.21226455384658,0.27380850820353,-0.735301896468517,0.329243041519283,1.00055931391194,4055,"FLII","SUB-Panthera_tigris","Non-Significant","SUB-Panthera_tigris~DOM-Neofelis_genus"
0.569597845406739,0.20655719106987,0.174794370815236,0.983880403765664,1.00017794744837,12084,"FLII","DOM-Neofelis_genus","Significant","SUB-Panthera_tigris~DOM-Neofelis_genus"
-0.423450665038833,0.419463202835726,-1.33692126277594,0.312435902306129,1.00022343630044,9992,"HFP","SUB-Panthera_tigris","Non-Significant","SUB-Panthera_tigris~DOM-Neofelis_genus"
-0.269474327738681,0.42714008896597,-1.14695477339539,0.523046650452658,1.00003874497989,30000,"HFP","DOM-Neofelis_genus","Non-Significant","SUB-Panthera_tigris~DOM-Neofelis_genus"
1.35837793259222,0.158012004563841,1.05234470767146,1.66748551356354,1.00005286703641,30000,"Elevation","SUB-Panthera_tigris","Significant","SUB-Panthera_tigris~DOM-Neofelis_genus"
0.251382939240171,0.105928457808429,0.0427430670273651,0.458850281758225,1.00009169336011,30000,"Elevation","DOM-Neofelis_genus","Significant","SUB-Panthera_tigris~DOM-Neofelis_genus"
0.357351283671577,0.0596135840111119,0.241194142616354,0.473902644125363,1.00011779121384,30000,"Community_detections","SUB-Panthera_tigris","Significant","SUB-Panthera_tigris~DOM-Neofelis_genus"
0.302413648457509,0.072241318595324,0.161236276355055,0.445932503486615,1.00042433392282,4239,"Community_detections","DOM-Neofelis_genus","Significant","SUB-Panthera_tigris~DOM-Neofelis_genus"
