"mean","sd","lower","upper","Rhat","n.eff","var","species","sig","Species_Pair"
-1.22175456705905,0.348105148917903,-1.91615181547324,-0.545537116510036,1.01128769811681,190,"Abundance_intercept","SUB-Martes_flavigula","Significant","SUB-Martes_flavigula~DOM-Neofelis_genus"
-1.00068721451006,0.286451962411102,-1.5781973950771,-0.448752904881514,1.00542326135504,418,"Abundance_intercept","DOM-Neofelis_genus","Significant","SUB-Martes_flavigula~DOM-Neofelis_genus"
-0.194602037229488,0.174288368605524,-0.541919020956167,0.138193545605671,1.05586458525865,41,"FLII","SUB-Martes_flavigula","Non-Significant","SUB-Martes_flavigula~DOM-Neofelis_genus"
0.466847584185414,0.184194913828843,0.121485958151326,0.837726581979404,1.02029454093864,105,"FLII","DOM-Neofelis_genus","Significant","SUB-Martes_flavigula~DOM-Neofelis_genus"
-0.0751695093821585,0.373297299783719,-0.833393476546129,0.626770915804932,1.00047194421775,3927,"HFP","SUB-Martes_flavigula","Non-Significant","SUB-Martes_flavigula~DOM-Neofelis_genus"
-0.309048709167479,0.385375779454204,-1.09201781182155,0.407955212973997,1.00243556015706,819,"HFP","DOM-Neofelis_genus","Non-Significant","SUB-Martes_flavigula~DOM-Neofelis_genus"
0.0562074984016995,0.109571445032281,-0.158009979375471,0.273626899448955,1.01368450344809,155,"Elevation","SUB-Martes_flavigula","Non-Significant","SUB-Martes_flavigula~DOM-Neofelis_genus"
0.153946417634514,0.0877996163304649,-0.0220537549614618,0.322615102886868,1.01639620216286,127,"Elevation","DOM-Neofelis_genus","Non-Significant","SUB-Martes_flavigula~DOM-Neofelis_genus"
0.390803679719688,0.0790209915256691,0.234764580815159,0.546517972121166,1.00117295690782,2047,"Community_detections","SUB-Martes_flavigula","Significant","SUB-Martes_flavigula~DOM-Neofelis_genus"
0.272726362663904,0.0666795841741728,0.143501839976968,0.404062286382234,1.00746255836575,273,"Community_detections","DOM-Neofelis_genus","Significant","SUB-Martes_flavigula~DOM-Neofelis_genus"
0.904876937847823,0.080524194860212,0.751901268411898,1.06629057916551,1.10650183710475,23,"Species_Interaction","SUB-Martes_flavigula","Significant","SUB-Martes_flavigula~DOM-Neofelis_genus"
-4.11401553851438,0.250013103784429,-4.64186381942698,-3.64026048602835,1.0080988167065,313,"Detection_intercept","SUB-Martes_flavigula","Significant","SUB-Martes_flavigula~DOM-Neofelis_genus"
