"mean","sd","lower","upper","Rhat","n.eff","var","species","sig","Species_Pair"
-2.20583433291614,0.828785299057038,-3.96816755895115,-0.724248520476843,1.0115310749563,327,"Abundance_intercept","SUB-Cuon_alpinus","Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.584857296336201,0.220936379014116,0.140500817747587,1.02440499404721,1.00110442043932,2688,"Abundance_intercept","DOM-Muntiacus_genus","Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.302176843459253,0.361693606088245,-1.00432726965544,0.411803043804998,1.00230768989743,873,"FLII","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.120405109258599,0.0889466464026861,-0.293193184490186,0.0528920041978781,1.00023938162599,8657,"FLII","DOM-Muntiacus_genus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.964826146619576,0.790636664021837,-2.62134657043266,0.437509281279756,1.00002092251172,30000,"HFP","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.190217740194796,0.0737249748534422,0.0448868728456572,0.33057881909785,1.00005850595897,28331,"HFP","DOM-Muntiacus_genus","Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.292369833322006,0.157794422298798,-0.0154650580218539,0.601509789512253,1.00142014550356,1517,"Elevation","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.255203954767134,0.063633252443085,0.130371345149463,0.37893154686175,1.00031277039382,6373,"Elevation","DOM-Muntiacus_genus","Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.470874739380376,0.0794418184228966,0.31592871298252,0.629086442863561,1.00008964163359,30000,"Community_detections","SUB-Cuon_alpinus","Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.122273208672644,0.0306719927606981,0.0619353947755483,0.182215788496413,1.00000592159363,30000,"Community_detections","DOM-Muntiacus_genus","Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.0888092977323674,0.0419705039553188,0.00594856348396233,0.169974720831508,1.00038730919094,7311,"Species_Interaction","SUB-Cuon_alpinus","Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-4.07935625271847,0.761882654834505,-5.74985687793005,-2.75345421432541,1.0387440173287,123,"Detection_intercept","SUB-Cuon_alpinus","Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-2.02809442255567,0.319551495623651,-2.68730693617197,-1.4075106437674,1.0046367049858,28478,"Detection_intercept","DOM-Muntiacus_genus","Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.229910507160792,0.0809087033708574,0.0728932727066305,0.388553145134585,1.00004121209432,22669,"Active_cams","SUB-Cuon_alpinus","Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.331526740132303,0.0304891184403657,0.272213028181308,0.391772356135906,1.00028220129767,7763,"Active_cams","DOM-Muntiacus_genus","Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.450166695982563,0.450268869717558,0.064999789931299,1.53479187842328,1.00901746987447,6360,"var.Landscape","SUB-Cuon_alpinus","Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
4.04305424873177,2.56073674214193,0.86371981026226,10.590258692519,1.00009034582005,30000,"var.Landscape","DOM-Muntiacus_genus","Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-1.43056975886901,1.01715425162945,-3.55392403802664,0.500764522104405,1.00273518289442,1254,"Landscape[1]","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-1.07427664802175,0.909276666927177,-2.93622337852533,0.727070717713039,1.00283453214584,1353,"Landscape[2]","DOM-Muntiacus_genus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.0962642990709328,0.971093662541434,-2.0055273333779,1.91400737109042,1.00397536015108,659,"Landscape[3]","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-1.13336547923348,1.67418640306543,-5.18325838758396,1.61836884803845,1.00011760341056,18252,"Landscape[4]","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
1.97475918099385,1.01005300752535,0.251658286617945,4.27012280828536,1.00538996808084,974,"Landscape[5]","SUB-Cuon_alpinus","Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
1.09345801290403,0.813003273840426,-0.36284710322063,2.86073351595879,1.01092361686433,389,"Landscape[6]","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.563505459969577,0.8426367582349,-0.978971810581386,2.39308657126672,1.00825805126162,526,"Landscape[7]","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
1.75256871685435,0.80848212234543,0.310256629252142,3.49807207062631,1.01198391775862,304,"Landscape[8]","SUB-Cuon_alpinus","Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-1.55558733560586,1.70905615812995,-5.58726330048913,1.27246873071443,1.00013002439784,19293,"Landscape[9]","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.107390948672096,0.225207215638518,-0.554236453584427,0.345387089729722,1.00085040422129,5049,"Landscape[1]","DOM-Muntiacus_genus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.525323245024684,0.229675887201532,0.0828971406259251,1.00237623317696,1.00122188485069,2389,"Landscape[2]","DOM-Muntiacus_genus","Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.406715502009863,0.253524283928585,-0.922026678825747,0.0871707201471965,1.00054216573216,4983,"Landscape[3]","DOM-Muntiacus_genus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.953974387821632,0.275744326502937,0.443633266935035,1.53275707178895,1.00079682612758,5150,"Landscape[4]","DOM-Muntiacus_genus","Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.205989324155503,0.260871886322519,-0.73424927016879,0.305252471157968,1.00059237936959,4702,"Landscape[5]","DOM-Muntiacus_genus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.451168935163307,0.217835575321373,-0.88698705632838,-0.00529707999869657,1.00101113261656,4366,"Landscape[6]","DOM-Muntiacus_genus","Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.036591504569943,0.226467755664402,-0.478349235109355,0.430926508416071,1.00115449963898,2927,"Landscape[7]","DOM-Muntiacus_genus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.0282369965945536,0.222841405328902,-0.479335147499033,0.41946676572738,1.00093735446196,6310,"Landscape[8]","DOM-Muntiacus_genus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.248786643018213,0.328973866431475,-0.919121271797734,0.378508768730451,1.00006035054344,30000,"Landscape[9]","DOM-Muntiacus_genus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
1494.61502266716,110332.957726198,2.57304368214637,186.929488908555,1.28940453000304,7350,"var.Year","SUB-Cuon_alpinus","Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
32.5541138416004,25.3357534802063,7.48526551660923,92.5228247962063,1.00184992182836,14220,"var.Year","DOM-Muntiacus_genus","Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.13611931065663,0.287346555785498,-0.393466161785513,0.779754937651283,1.00020911730282,30000,"Year[1]","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.272433153193822,0.237888919761345,-0.137001609881938,0.786015863064823,1.00006075417894,18939,"Year[2]","DOM-Muntiacus_genus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.0360948825823274,0.210928060012396,-0.390102740509832,0.459914938767298,0.999996777541933,30000,"Year[3]","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.0875882591333676,0.216638268344055,-0.553710024633393,0.317619641726193,1.00010663803411,27169,"Year[4]","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.197683571806628,0.20530004239536,-0.646980098108963,0.159993592615686,1.00015123323819,30000,"Year[5]","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.369026952338587,0.243834755079542,-0.912809737479355,0.0242116270237862,1.00027043719391,7243,"Year[6]","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.0729438632331365,0.182677428639387,-0.459596567715841,0.278140369311,1.00029640197429,6220,"Year[7]","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.00156877422348888,0.176337764018075,-0.365606343631395,0.346997677107396,1.00037687866247,30000,"Year[8]","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.234086637908415,0.180180946844613,-0.0929036487926647,0.609266790072264,1.00003261247065,30000,"Year[9]","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.0571067443134422,0.322848853670476,-0.766580935829594,0.564139877671941,1.00000725551261,30000,"Year[10]","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.0376860432355268,0.307558060394665,-0.568068671188539,0.712769395645512,1.00052992848113,5474,"Year[11]","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.0837088748993703,0.257382112567248,-0.632858861853972,0.420247808918005,1.00038391610325,9813,"Year[12]","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.0927725443223814,0.25669322230408,-0.40360331881367,0.646433360321386,1.00073851500885,3248,"Year[13]","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.0682147014334229,0.304796222298081,-0.516733276148109,0.742009661592218,1.00007070772256,17771,"Year[14]","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.0223347843234381,0.180726343101594,-0.336744243432241,0.385772227836389,1.00003412323634,30000,"Year[1]","DOM-Muntiacus_genus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.0556711944158096,0.11626678891236,-0.29534882833453,0.168921324923484,1.00008504573081,16073,"Year[2]","DOM-Muntiacus_genus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.245234551292762,0.10893905155606,-0.47271694170121,-0.0444567646886323,1.00014648605803,30000,"Year[3]","DOM-Muntiacus_genus","Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.172460058818047,0.103864982639402,-0.385508498184751,0.0231400926025358,1.00012225402817,26223,"Year[4]","DOM-Muntiacus_genus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.0920973733717933,0.0971379131824042,-0.286322550027363,0.0965967372063962,1.00004103785507,30000,"Year[5]","DOM-Muntiacus_genus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.0215101915919841,0.0988833263040573,-0.173189581560708,0.219822449275637,1.00023360903446,10615,"Year[6]","DOM-Muntiacus_genus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.0706026357295422,0.0939253077115042,-0.110159015043014,0.260107138176055,1.00010023304921,30000,"Year[7]","DOM-Muntiacus_genus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.253575847264242,0.103270785244738,0.0603331568520889,0.465067350747758,1.0003694266154,5865,"Year[8]","DOM-Muntiacus_genus","Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.203610748081171,0.10016895292946,0.0127653720060747,0.411150092899357,1.00017065962943,30000,"Year[9]","DOM-Muntiacus_genus","Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.00924939563809845,0.12740211635971,-0.263042019978843,0.240511296633341,1.00005019417382,26403,"Year[10]","DOM-Muntiacus_genus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.0342888146900153,0.17375564253487,-0.308165792250078,0.387875386133499,1.0000190405782,30000,"Year[11]","DOM-Muntiacus_genus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.143872912985772,0.161473408175679,-0.156947376517169,0.484712731630904,1.00021199809835,30000,"Year[12]","DOM-Muntiacus_genus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.0341465885429605,0.155461667156268,-0.342484351730128,0.278317707406151,1.00012153564111,13427,"Year[13]","DOM-Muntiacus_genus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.146168677701509,0.196531872918911,-0.58265730679436,0.196844621707638,1.0000690238779,17173,"Year[14]","DOM-Muntiacus_genus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
1.12439872236225,1.40104774421337,0.0786982487814288,4.83709500491778,1.0010419722202,3754,"var.Source","SUB-Cuon_alpinus","Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
2.46971688360913,1.68241982527346,0.385845552702089,6.72701056009709,1.00061445704124,3510,"var.Source","SUB-Cuon_alpinus","Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.992313409508496,0.761746848388196,-0.326757053981236,2.67615071826071,1.03925712693778,122,"Source[1]","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.636179149211182,1.63543518378203,-4.4062827759284,2.36293007967701,1.00104836978905,2850,"Source[2]","DOM-Muntiacus_genus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.198168669235193,0.862546735212188,-1.82672563694868,1.61455283621714,1.02626462945111,161,"Source[3]","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.727768896588924,1.0071274735052,-2.95718728680688,1.08324605931151,1.00549467051533,583,"Source[4]","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.593312943065542,0.89806979855688,-2.45049933367251,1.16752241311096,1.01563767799566,216,"Source[5]","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.119881518952934,0.775747792494079,-1.51690685160071,1.55436841242215,1.03384361565258,140,"Source[6]","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
1.32997399977388,1.00123638377169,-0.281570240714782,3.52512268210875,1.0266476716697,191,"Source[7]","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.0231542303193839,0.322158243609364,-0.652200088331799,0.628796782826404,1.0043464800097,30000,"Source[1]","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.110873295631239,0.407822606009702,-0.696485302678913,0.911318691305885,1.00232219287562,28853,"Source[2]","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.152043297946686,0.330002982739727,-0.488152155098843,0.823122292855861,1.00382691205525,27454,"Source[3]","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.44728170559805,0.358307044622051,-0.244271741557274,1.17903079441826,1.00269779243397,30000,"Source[4]","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-0.192529953424601,0.332690007423406,-0.839088382954524,0.48578596553964,1.00441947792718,20947,"Source[5]","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
-1.11024808747901,0.341701055213891,-1.79348467530428,-0.438758414000619,1.00308409888224,30000,"Source[6]","SUB-Cuon_alpinus","Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
0.66739972118951,0.326265924423531,0.038152109587445,1.34395205276884,1.00373685311561,30000,"Source[7]","SUB-Cuon_alpinus","Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
1.06506350046536,0.0682649103807952,1.00148399750456,1.25015173650427,1.00790864437629,1571,"tau.p[1]","SUB-Cuon_alpinus","Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
1.20537483415989,0.128733897192105,1.016114697596,1.50181296370857,1.00143605775653,1482,"tau.p[2]","DOM-Muntiacus_genus","Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
16813.2728647248,199.182722863924,16449.4597319074,17218.9968601919,1.00108464212907,1785,"deviance",NA,"Significant","SUB-Cuon_alpinus~DOM-Muntiacus_genus"
