"mean","sd","lower","upper","Rhat","n.eff","var","species","sig","Species_Pair"
-1.39177836841721,0.787792635538798,-3.04190239653315,0.131888598956238,1.01459064051516,182,"Abundance_intercept","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Lophura_nycthemera"
-3.07398623596358,0.707521636736822,-4.51299332052161,-1.70301631572591,1.00189710821042,11221,"Abundance_intercept","DOM-Lophura_nycthemera","Significant","SUB-Cuon_alpinus~DOM-Lophura_nycthemera"
-0.389566054594381,0.332174337226287,-1.03188117666156,0.267798376622914,1.00053107514867,4262,"FLII","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Lophura_nycthemera"
-1.08995251530413,0.284545933173082,-1.64213952505559,-0.52218233865177,1.00001320421014,30000,"FLII","DOM-Lophura_nycthemera","Significant","SUB-Cuon_alpinus~DOM-Lophura_nycthemera"
-1.0326773836455,0.759002008558201,-2.58610341887122,0.344342173259535,1.00022017015454,11160,"HFP","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Lophura_nycthemera"
-2.59302059323048,0.984599056619997,-4.56524789727536,-0.716250153989036,0.99996901156758,30000,"HFP","DOM-Lophura_nycthemera","Significant","SUB-Cuon_alpinus~DOM-Lophura_nycthemera"
0.526040443643985,0.152253566810267,0.231816213511953,0.824365176611558,1.00013623546717,11440,"Elevation","SUB-Cuon_alpinus","Significant","SUB-Cuon_alpinus~DOM-Lophura_nycthemera"
1.58925458504476,0.214161922585079,1.18805475547196,2.0252700857603,1.00040771935633,19955,"Elevation","DOM-Lophura_nycthemera","Significant","SUB-Cuon_alpinus~DOM-Lophura_nycthemera"
0.0383788577382422,0.06468532593058,-0.102838913757119,0.1514053684396,1.00005700942413,30000,"Species_Interaction","SUB-Cuon_alpinus","Non-Significant","SUB-Cuon_alpinus~DOM-Lophura_nycthemera"
-3.85557092294356,0.55432673701364,-4.96893325123953,-2.72400544931344,1.00182861261601,1947,"Detection_intercept","SUB-Cuon_alpinus","Significant","SUB-Cuon_alpinus~DOM-Lophura_nycthemera"
-2.71232017053528,0.317090491674232,-3.34829529341456,-2.09381224291152,1.00228812217225,30000,"Detection_intercept","DOM-Lophura_nycthemera","Significant","SUB-Cuon_alpinus~DOM-Lophura_nycthemera"
