"mean","sd","lower","upper","Rhat","n.eff","var","species","sig","Species_Pair"
0.0599818366335834,0.249209729289077,-0.485784580380429,0.528219957147335,1.02931693435855,84,"Abundance_intercept","SUB-Hystrix_brachyura","Non-Significant","SUB-Hystrix_brachyura~DOM-Panthera_pardus"
0.495694615425569,1.10758935853014,-1.69487020102999,3.07009399387877,1.07558399819448,33,"Abundance_intercept","DOM-Panthera_pardus","Non-Significant","SUB-Hystrix_brachyura~DOM-Panthera_pardus"
0.260957422495481,0.0598817422433561,0.142886736026293,0.377808834985867,1.02953289467112,73,"FLII","SUB-Hystrix_brachyura","Significant","SUB-Hystrix_brachyura~DOM-Panthera_pardus"
1.31006403357471,0.299541408293516,0.760014241435094,1.92202777457777,1.2206494374104,13,"FLII","DOM-Panthera_pardus","Significant","SUB-Hystrix_brachyura~DOM-Panthera_pardus"
-0.33609456395034,0.100546699159078,-0.5375066841387,-0.142331655522204,1.00328578931339,613,"HFP","SUB-Hystrix_brachyura","Significant","SUB-Hystrix_brachyura~DOM-Panthera_pardus"
1.10729217057597,0.261397352442629,0.615821885385749,1.63338882280053,1.2589667136678,12,"HFP","DOM-Panthera_pardus","Significant","SUB-Hystrix_brachyura~DOM-Panthera_pardus"
-0.0110565688637543,0.0363718710626065,-0.0830224963665577,0.0597602260363768,1.07532024933128,31,"Elevation","SUB-Hystrix_brachyura","Non-Significant","SUB-Hystrix_brachyura~DOM-Panthera_pardus"
0.0996891802639935,0.065006817930162,-0.0295562958601044,0.224802102037029,1.04729003674204,52,"Elevation","DOM-Panthera_pardus","Non-Significant","SUB-Hystrix_brachyura~DOM-Panthera_pardus"
1.10036463805154,0.189149772354797,0.784117431759094,1.34668141053745,7.03641066779792,3,"Species_Interaction","SUB-Hystrix_brachyura","Significant","SUB-Hystrix_brachyura~DOM-Panthera_pardus"
-3.65876307994887,0.393332086639351,-4.4767860058162,-2.91990558606189,1.06492378511718,45,"Detection_intercept","SUB-Hystrix_brachyura","Significant","SUB-Hystrix_brachyura~DOM-Panthera_pardus"
-5.24105363767988,0.647336063738075,-6.82975126818475,-4.10621622803912,1.24850774973164,14,"Detection_intercept","DOM-Panthera_pardus","Significant","SUB-Hystrix_brachyura~DOM-Panthera_pardus"
0.394852150645886,0.0155303075481717,0.364431227777456,0.425246921472121,1.01660929876897,127,"Active_cams","SUB-Hystrix_brachyura","Significant","SUB-Hystrix_brachyura~DOM-Panthera_pardus"
0.955991266875525,0.0918916072979722,0.775765956435436,1.13772604624567,1.18916587672963,15,"Active_cams","DOM-Panthera_pardus","Significant","SUB-Hystrix_brachyura~DOM-Panthera_pardus"
0.709632133507302,0.205351061203274,0.388125934365374,1.18214452270141,1.04378309096371,60,"var.Landscape","SUB-Hystrix_brachyura","Significant","SUB-Hystrix_brachyura~DOM-Panthera_pardus"
2.16005358507652,56.0894845752786,0.0518797682109356,4.22489676270035,1.29213916533739,1319,"var.Landscape","DOM-Panthera_pardus","Significant","SUB-Hystrix_brachyura~DOM-Panthera_pardus"
